"Team","Rush Att","Rush Yds","YPC","Rush TD","20+ Yd Rush","40+ Yd Rush","Rush Lng","Rush 1st","Rush 1st%","Rush FUM"
"SF",101,488,4.8,5,2,2,"65T",25,24.8,2
"CLE",75,404,5.4,2,2,1,"69",19,25.3,3
"DAL",74,256,3.5,3,2,0,"25T",15,20.3,0
"PHI",73,356,4.9,3,1,1,"43",25,34.2,1
"ATL",71,341,4.8,3,2,0,"22",22,31,0
"BAL",69,288,4.2,4,1,0,"20T",18,26.1,1
"TB",67,193,2.9,1,0,0,"14",13,19.4,0
"NYG",66,264,4,3,0,0,"18T",18,27.3,1
"LAR",62,181,2.9,4,0,0,"12",17,27.4,0
"DET",61,220,3.6,2,0,0,"18",13,21.3,1
"LAC",61,294,4.8,3,1,1,"55",21,34.4,0
"NO",60,203,3.4,2,0,0,"19",12,20,1
"BUF",57,280,4.9,2,1,0,"36",18,31.6,2
"TEN",56,245,4.4,2,1,0,"23T",15,26.8,0
"ARI",54,247,4.6,2,4,0,"29T",14,25.9,2
"GB",53,176,3.3,1,1,0,"24",9,17,1
"JAX",53,179,3.4,2,1,0,"26T",10,18.9,1
"CAR",51,254,5,0,2,0,"26",13,25.5,2
"WAS",51,214,4.2,3,1,0,"27",18,35.3,1
"MIA",50,215,4.3,3,1,1,"43T",11,22,4
"HOU",49,124,2.5,0,0,0,"11",4,8.2,1
"IND",49,191,3.9,4,0,0,"18",10,20.4,1
"NE",47,164,3.5,1,0,0,"18",15,31.9,0
"CHI",45,189,4.2,2,1,0,"29",13,28.9,1
"DEN",45,216,4.8,1,0,0,"15T",15,33.3,0
"KC",45,191,4.2,0,1,0,"31",13,28.9,0
"LV",44,116,2.6,0,1,0,"34",7,15.9,2
"NYJ",44,236,5.4,0,2,1,"83",9,20.4,2
"SEA",43,167,3.9,2,0,0,"15",10,23.3,0
"CIN",35,141,4,0,1,0,"22",6,17.1,0
"PIT",31,96,3.1,0,2,0,"24",6,19.4,0
"MIN",26,69,2.6,0,0,0,"9",2,7.7,2
