"week","team","opponent_team"
"","",""
"","",""
"","",""
"","",""
"1","BUF","LA"
"1","NO","ATL"
"1","CLE","CAR"
"1","CHI","SF"
"1","PIT","CIN"
"1","HOU","IND"
"1","PHI","DET"
"1","WAS","JAX"
"1","MIA","NE"
"1","BAL","NYJ"
"1","KC","ARI"
"1","MIN","GB"
"1","NYG","TEN"
"1","LAC","LV"
"1","TB","DAL"
"1","SEA","DEN"
"1","LA","BUF"
"1","ATL","NO"
"1","CAR","CLE"
"1","SF","CHI"
"1","CIN","PIT"
"1","IND","HOU"
"1","DET","PHI"
"1","JAX","WAS"
"1","NE","MIA"
"1","NYJ","BAL"
"1","ARI","KC"
"1","GB","MIN"
"1","TEN","NYG"
"1","LV","LAC"
"1","DAL","TB"
"1","DEN","SEA"
"10","CAR","ATL"
"10","TB","SEA"
"10","MIN","BUF"
"10","MIA","CLE"
"10","TEN","DEN"
"10","NYG","HOU"
"10","DET","CHI"
"10","KC","JAX"
"10","PIT","NO"
"10","IND","LV"
"10","GB","DAL"
"10","ARI","LA"
"10","SF","LAC"
"10","WAS","PHI"
"10","ATL","CAR"
"10","SEA","TB"
"10","BUF","MIN"
"10","CLE","MIA"
"10","DEN","TEN"
"10","HOU","NYG"
"10","CHI","DET"
"10","JAX","KC"
"10","NO","PIT"
"10","LV","IND"
"10","DAL","GB"
"10","LA","ARI"
"10","LAC","SF"
"10","PHI","WAS"
"11","TEN","GB"
"11","BUF","CLE"
"11","DET","NYG"
"11","WAS","HOU"
"11","NE","NYJ"
"11","ATL","CHI"
"11","BAL","CAR"
"11","PHI","IND"
"11","NO","LA"
"11","LV","DEN"
"11","CIN","PIT"
"11","DAL","MIN"
"11","KC","LAC"
"11","SF","ARI"
"11","GB","TEN"
"11","CLE","BUF"
"11","NYG","DET"
"11","HOU","WAS"
"11","NYJ","NE"
"11","CHI","ATL"
"11","CAR","BAL"
"11","IND","PHI"
"11","LA","NO"
"11","DEN","LV"
"11","PIT","CIN"
"11","MIN","DAL"
"11","LAC","KC"
"11","ARI","SF"
"12","BUF","DET"
"12","DAL","NYG"
"12","MIN","NE"
"12","CIN","TEN"
"12","CLE","TB"
"12","MIA","HOU"
"12","JAX","BAL"
"12","WAS","ATL"
"12","CAR","DEN"
"12","NYJ","CHI"
"12","LV","SEA"
"12","LAC","ARI"
"12","KC","LA"
"12","SF","NO"
"12","PHI","GB"
"12","PIT","IND"
"12","DET","BUF"
"12","NYG","DAL"
"12","NE","MIN"
"12","TEN","CIN"
"12","TB","CLE"
"12","HOU","MIA"
"12","BAL","JAX"
"12","ATL","WAS"
"12","DEN","CAR"
"12","CHI","NYJ"
"12","SEA","LV"
"12","ARI","LAC"
"12","LA","KC"
"12","NO","SF"
"12","GB","PHI"
"12","IND","PIT"
"13","BUF","NE"
"13","CLE","HOU"
"13","BAL","DEN"
"13","DET","JAX"
"13","MIN","NYJ"
"13","WAS","NYG"
"13","PHI","TEN"
"13","PIT","ATL"
"13","GB","CHI"
"13","SF","MIA"
"13","SEA","LA"
"13","CIN","KC"
"13","LV","LAC"
"13","DAL","IND"
"13","TB","NO"
"13","NE","BUF"
"13","HOU","CLE"
"13","DEN","BAL"
