"Team","Pass Att","Cmp","Cmp %","Yds/Att","Pass Yds","Pass TD","INT","Rate","1st","1st%","20+ Yd Rec","40+ Yd Rec","Lng Rec","Sck","SckY","Rec","Rec Yards","Yds/Rec","20+","40+","Lng","Rec 1st","Rec 1st%","Rec FUM","Rush Att","Rush Yds","YPC","Rush TD","20+ Yd Rush","40+ Yd Rush","Rush Lng","Rush 1st","Rush 1st%","Rush FUM","3rd Att","3rd Md","4th Att","4th Md","Scrm Plys"
"ARI",575,387,67.3,7.1,4102,27,13,94.1,211,36.7,"45","14","80 ",29,186,387,4102,10.6,45,14,80,211,54.5,6,479,2237,4.7,22,17,2,"69T",136,28.4,9,202,80,25,17,1083
"ATL",628,408,65,7.4,4620,27,11,93.9,243,38.7,"59","8","63 ",41,257,408,4620,11.3,59,8,63,243,59.6,5,409,1532,3.8,13,6,1,"62",86,21,5,221,97,26,15,1078
"BAL",406,257,63.3,7.2,2919,27,11,95.7,142,35,"38","5","70 ",32,180,257,2919,11.4,38,5,70,142,55.2,3,555,3071,5.5,24,31,5,"72",166,29.9,11,207,101,19,12,993
"BUF",596,410,68.8,8,4786,40,11,107.6,240,40.3,"66","10","56 ",27,166,410,4786,11.7,66,10,56,240,58.5,3,411,1723,4.2,16,10,1,"51",119,29,6,187,93,10,8,1034
"CAR",550,373,67.8,7.5,4129,16,16,87.4,192,34.9,"55","9","75 ",36,241,373,4129,11.1,55,9,75,192,51.5,3,407,1704,4.2,19,6,1,"45T",110,27,7,195,76,27,15,993
"CHI",614,402,65.5,6.4,3925,26,16,86.5,218,35.5,"42","3","53 ",36,270,402,3925,9.8,42,3,53,218,54.2,5,393,1647,4.2,12,8,3,"80",93,23.7,1,205,71,28,17,1043
"CIN",581,372,64,6.5,3793,19,11,85.6,201,34.6,"35","5","72 ",48,345,372,3793,10.2,35,5,72,201,54,4,411,1668,4.1,13,9,2,"55",92,22.4,8,213,77,27,19,1040
"CLE",501,315,62.9,7.4,3701,27,8,96.6,195,38.9,"45","5","75 ",26,162,315,3701,11.8,45,5,75,195,61.9,6,495,2374,4.8,21,21,4,"59",133,26.9,7,196,88,24,8,1022
"DAL",639,413,64.6,7.1,4511,25,13,89.9,231,36.2,"50","11","69 ",44,350,413,4511,10.9,50,11,69,231,55.9,3,430,1788,4.2,14,7,2,"42",115,26.7,7,215,87,31,17,1113
"DEN",556,317,57,6.6,3673,21,23,72.5,176,31.6,"49","11","92 ",32,222,317,3673,11.6,49,11,92,176,55.5,6,442,1918,4.3,13,13,3,"65",94,21.3,7,212,82,15,4,1030
"DET",582,374,64.3,7.6,4397,27,13,93.3,220,37.8,"58","8","73 ",42,293,374,4397,11.8,58,8,73,220,58.8,1,367,1499,4.1,17,5,1,"54",93,25.3,5,192,79,20,10,986
"GB",526,372,70.7,8.2,4299,48,5,121.5,216,41.1,"57","14","78 ",21,193,372,4299,11.6,57,14,78,216,58.1,3,443,2118,4.8,16,10,4,"77",114,25.7,4,180,89,21,13,990
"HOU",546,383,70.2,8.9,4843,33,7,112.3,222,40.7,"70","11","77 ",50,305,383,4843,12.6,69,11,77,222,58,7,344,1466,4.3,10,5,1,"48T",83,24.1,7,193,83,16,9,940
"IND",552,371,67.2,7.6,4186,24,11,95.9,201,36.4,"56","8","55 ",21,133,371,4186,11.3,56,8,55,201,54.2,3,459,1996,4.4,20,12,3,"62",129,28.1,1,197,78,26,16,1032
"JAX",616,387,62.8,6.4,3955,25,16,83.9,205,33.3,"45","5","73 ",44,256,387,3955,10.2,45,5,73,205,53,2,337,1519,4.5,9,6,1,"47T",80,23.7,3,207,84,26,7,997
"KC",630,420,66.7,7.9,5005,40,7,107.3,255,40.5,"69","8","75 ",24,151,420,5005,11.9,69,8,75,255,60.7,7,403,1799,4.5,13,10,0,"32",110,27.3,5,194,95,16,9,1057
"LAC",627,413,65.9,7.2,4548,31,10,97,226,36,"54","10","72 ",34,219,413,4548,11,54,10,72,226,54.7,3,466,1784,3.8,12,10,0,"36",111,23.8,8,224,99,25,12,1127
"LAR",590,392,66.4,7.1,4183,20,14,88.4,206,34.9,"50","6","56 ",25,169,392,4183,10.7,50,6,56,206,52.6,4,473,2018,4.3,19,9,4,"61T",123,26,4,226,98,17,8,1088
"LV",551,369,67,8,4383,28,10,100.4,206,37.4,"59","12","85 ",28,166,369,4383,11.9,59,12,85,206,55.8,4,457,1916,4.2,20,9,1,"43",121,26.5,9,198,91,21,16,1036
"MIA",559,370,66.2,7,3937,24,13,91.2,207,37,"40","4","70 ",34,201,370,3937,10.6,40,4,70,207,56,3,428,1688,3.9,15,7,0,"31",100,23.4,5,202,78,10,8,1021
"MIN",516,349,67.6,8.3,4265,35,13,105,212,41.1,"58","7","71 ",39,256,349,4265,12.2,58,7,71,212,60.7,4,468,2283,4.9,20,10,1,"70T",139,29.7,5,181,74,23,13,1028
"NE",440,283,64.3,7.1,3124,12,14,81.1,157,35.7,"38","3","50 ",37,234,283,3124,11,38,3,50,157,55.5,6,502,2346,4.7,20,13,3,"49",143,28.5,8,186,76,17,9,979
"NO",522,370,70.9,7.6,3945,28,8,104.1,199,38.1,"44","9","52 ",29,187,370,3945,10.7,44,9,52,199,53.8,4,494,2265,4.6,30,14,3,"49T",147,29.8,9,208,93,16,11,1045
"NYG",517,321,62.1,6.4,3336,12,11,79.6,178,34.4,"36","5","53 ",50,310,321,3336,10.4,36,5,53,178,55.4,3,399,1768,4.4,13,9,3,"80T",91,22.8,5,198,72,22,14,966
"NYJ",499,292,58.5,6.2,3115,16,14,75.9,146,29.3,"39","6","69 ",43,319,292,3115,10.7,39,6,69,146,50,2,406,1683,4.2,9,4,1,"46",94,23.2,2,206,70,18,7,948
"PHI",598,334,55.8,6.2,3728,22,20,72.9,177,29.6,"43","9","81 ",65,401,334,3728,11.2,43,9,81,177,53,1,403,2027,5,16,12,5,"82",114,28.3,15,220,82,35,15,1066
"PIT",656,428,65.2,6.3,4129,35,11,93.5,206,31.4,"48","7","84 ",14,126,428,4129,9.6,48,7,84,206,48.1,8,373,1351,3.6,12,10,2,"59",81,21.7,7,230,97,19,10,1043
"SEA",563,388,68.9,7.5,4245,40,13,105,216,38.4,"45","11","62 ",48,304,388,4245,10.9,45,11,62,216,55.7,3,411,1971,4.8,15,11,1,"50",111,27,6,189,76,14,8,1022
"SF",570,371,65.1,7.6,4320,25,17,90.1,217,38.1,"55","10","76 ",39,287,371,4320,11.6,54,10,76,217,58.5,1,437,1889,4.3,19,8,2,"80",101,23.1,6,197,77,15,6,1046
"TB",626,410,65.5,7.6,4776,42,12,102.8,238,38,"67","12","50 ",22,150,410,4776,11.6,67,12,50,238,58,5,369,1519,4.1,16,9,2,"98",82,22.2,3,191,83,14,8,1017
"TEN",485,316,65.2,7.9,3826,33,7,105.9,203,41.9,"44","13","75 ",25,173,316,3826,12.1,44,13,75,203,64.2,3,521,2690,5.2,26,20,5,"94",142,27.3,5,182,84,16,10,1031
"WAS",601,389,64.7,6.3,3796,16,16,80.1,184,30.6,"40","6","68 ",50,331,389,3796,9.8,40,6,68,184,47.3,7,400,1611,4,18,7,1,"40",108,27,3,225,88,19,11,1051
