"player_id","player_name","position","recent_team","season","week","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr","opponent_team"
"00-0026035","Danny Amendola","WR","DET",2020,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,5,7,81,0,0,0,67,22,4,6.3231429316802,0,1.2089552238806,0.170731707317073,0.18010752688172,0.382172829792814,0,8.1,13.1,NA
"00-0026035","Danny Amendola","WR","DET",2020,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,7,21,0,0,0,87,6,1,-8.48185889201704,0,0.241379310344828,0.233333333333333,0.337209302325581,0.586046511627907,0,2.1,4.1,NA
"00-0026035","Danny Amendola","WR","DET",2020,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,4,18,0,0,0,37,16,1,-3.04109779966185,0,0.486486486486487,0.129032258064516,0.168181818181818,0.311275659824047,0,1.8,2.8,NA
"00-0026035","Danny Amendola","WR","DET",2020,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,3,57,0,0,0,24,37,1,2.63582252291963,0,2.375,0.1,0.0727272727272727,0.200909090909091,0,5.7,7.7,NA
"00-0026035","Danny Amendola","WR","DET",2020,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,2,31,0,0,0,13,18,2,2.75680641084909,0,2.38461538461538,0.0645161290322581,0.0483271375464684,0.130603189830915,0,3.1,5.1,NA
"00-0026035","Danny Amendola","WR","DET",2020,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,4,62,0,0,0,45,26,2,3.07339085784042,0,1.37777777777778,0.125,0.131964809384164,0.279875366568915,0,6.2,9.2,NA
"00-0026035","Danny Amendola","WR","DET",2020,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,4,54,0,0,0,41,16,3,5.68707696424099,0,1.31707317073171,0.1,0.110810810810811,0.227567567567568,0,5.4,8.4,NA
"00-0026035","Danny Amendola","WR","DET",2020,9,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,2,0,0,0,1,0.768512432463467,0,7,10,77,0,0,0,46,52,5,1.48164632064097,0,1.67391304347826,0.227272727272727,0.168498168498169,0.458857808857809,0,7.9,14.9,NA
"00-0026035","Danny Amendola","WR","DET",2020,10,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,3,10,0,0,0,-8,15,1,-0.111087730794679,0,0,0.09375,-0.0373831775700935,0.114456775700935,0,1,4,NA
"00-0026035","Danny Amendola","WR","DET",2020,13,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,5,62,0,0,0,60,9,3,4.2504222416319,0,1.03333333333333,0.121951219512195,0.114503816793893,0.263079501024018,0,6.2,9.2,NA
"00-0026035","Danny Amendola","WR","DET",2020,14,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,6,7,66,0,0,0,40,38,4,2.63543757254956,0,1.65,0.184210526315789,0.163934426229508,0.39106988783434,0,6.6,12.6,NA
"00-0026035","Danny Amendola","WR","DET",2020,15,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,4,20,0,0,0,33,6,1,-1.36826579488115,0,0.606060606060606,0.108108108108108,0.0934844192634561,0.227601255646581,0,2,5,NA
"00-0026035","Danny Amendola","WR","DET",2020,16,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,5,7,37,0,0,0,51,28,1,-3.57107148860814,0,0.725490196078431,0.233333333333333,0.322784810126582,0.575949367088608,0,3.7,8.7,NA
"00-0026035","Danny Amendola","WR","DET",2020,17,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,2,6,0,0,0,22,1,1,0.0470633613876998,0,0.272727272727273,0.0645161290322581,0.0496613995485327,0.13153717323236,0,0.6,1.6,NA
