"week","team","opponent_team"
"","",""
"","",""
"1","KC","HOU"
"1","SEA","ATL"
"1","BUF","NYJ"
"1","LV","CAR"
"1","CHI","DET"
"1","BAL","CLE"
"1","JAX","IND"
"1","GB","MIN"
"1","NE","MIA"
"1","WAS","PHI"
"1","LAC","CIN"
"1","ARI","SF"
"1","NO","TB"
"1","LA","DAL"
"1","PIT","NYG"
"1","TEN","DEN"
"1","HOU","KC"
"1","ATL","SEA"
"1","NYJ","BUF"
"1","CAR","LV"
"1","DET","CHI"
"1","CLE","BAL"
"1","IND","JAX"
"1","MIN","GB"
"1","MIA","NE"
"1","PHI","WAS"
"1","CIN","LAC"
"1","SF","ARI"
"1","TB","NO"
"1","DAL","LA"
"1","NYG","PIT"
"1","DEN","TEN"
"10","IND","TEN"
"10","CLE","HOU"
"10","DET","WAS"
"10","GB","JAX"
"10","TB","CAR"
"10","NYG","PHI"
"10","LV","DEN"
"10","MIA","LAC"
"10","ARI","BUF"
"10","PIT","CIN"
"10","NO","SF"
"10","LA","SEA"
"10","NE","BAL"
"10","MIN","CHI"
"10","TEN","IND"
"10","HOU","CLE"
"10","WAS","DET"
"10","JAX","GB"
"10","CAR","TB"
"10","PHI","NYG"
"10","DEN","LV"
"10","LAC","MIA"
"10","BUF","ARI"
"10","CIN","PIT"
"10","SF","NO"
"10","SEA","LA"
"10","BAL","NE"
"10","CHI","MIN"
"11","SEA","ARI"
"11","NO","ATL"
"11","WAS","CIN"
"11","CLE","PHI"
"11","HOU","NE"
"11","PIT","JAX"
"11","TEN","BAL"
"11","CAR","DET"
"11","DEN","MIA"
"11","LAC","NYJ"
"11","IND","GB"
"11","DAL","MIN"
"11","KC","LV"
"11","LA","TB"
"11","ARI","SEA"
"11","ATL","NO"
"11","CIN","WAS"
"11","PHI","CLE"
"11","NE","HOU"
"11","JAX","PIT"
"11","BAL","TEN"
"11","DET","CAR"
"11","MIA","DEN"
"11","NYJ","LAC"
"11","GB","IND"
"11","MIN","DAL"
"11","LV","KC"
"11","TB","LA"
"12","HOU","DET"
"12","WAS","DAL"
"12","ATL","LV"
"12","BUF","LAC"
"12","NYG","CIN"
"12","CLE","JAX"
"12","TEN","IND"
"12","NE","ARI"
"12","MIA","NYJ"
"12","MIN","CAR"
"12","NO","DEN"
"12","SF","LA"
"12","KC","TB"
"12","GB","CHI"
"12","SEA","PHI"
"12","PIT","BAL"
"12","DET","HOU"
"12","DAL","WAS"
"12","LV","ATL"
"12","LAC","BUF"
"12","CIN","NYG"
"12","JAX","CLE"
"12","IND","TEN"
"12","ARI","NE"
"12","NYJ","MIA"
"12","CAR","MIN"
"12","DEN","NO"
"12","LA","SF"
"12","TB","KC"
"12","CHI","GB"
"12","PHI","SEA"
"12","BAL","PIT"
"13","NO","ATL"
"13","DET","CHI"
"13","MIA","CIN"
"13","CLE","TEN"
"13","IND","HOU"
"13","MIN","JAX"
"13","LV","NYJ"
"13","LA","ARI"
"13","NYG","SEA"
"13","GB","PHI"
"13","NE","LAC"
"13","KC","DEN"
"13","WAS","PIT"
"13","BUF","SF"
"13","BAL","DAL"
"13","ATL","NO"
"13","CHI","DET"
"13","CIN","MIA"
"13","TEN","CLE"
