"player_id","player_name","position","recent_team","season","week","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr","opponent_team"
"00-0024243","Marcedes Lewis","TE","GB",2020,12,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,4,16,1,0,0,17,13,2,0.835484148585238,0,0.941176470588235,0.137931034482759,0.069672131147541,0.255667043527417,0,7.6,9.6,NA
"00-0024243","Marcedes Lewis","TE","GB",2020,13,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,1,36,0,0,0,14,22,1,2.7143441819353,0,2.57142857142857,0.03125,0.0440251572327044,0.0776926100628931,0,3.6,4.6,NA
"00-0024243","Marcedes Lewis","TE","GB",2020,14,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,1,6,0,0,0,6,0,0,0.0153226107358932,0,1,0.032258064516129,0.0301507537688442,0.0694926244123845,0,0.6,1.6,NA
"00-0024243","Marcedes Lewis","TE","GB",2020,17,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,1,9,0,0,0,2,7,0,-0.463686619303189,0,4.5,0.0416666666666667,0.0116279069767442,0.0706395348837209,0,0.9,1.9,NA
"00-0025418","Greg Olsen","TE","SEA",2020,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,4,24,1,0,0,19,5,2,2.78657322376966,0,1.26315789473684,0.114285714285714,0.0926829268292683,0.236306620209059,0,8.4,12.4,NA
"00-0025418","Greg Olsen","TE","SEA",2020,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,5,0,0,-9.32573386817239,0,0,0.04,0.0228310502283105,0.0759817351598173,0,0,0,NA
"00-0025418","Greg Olsen","TE","SEA",2020,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,5,6,61,0,0,0,53,9,4,5.71583887503948,0,1.15094339622642,0.157894736842105,0.142857142857143,0.336842105263158,0,6.1,11.1,NA
"00-0025418","Greg Olsen","TE","SEA",2020,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,5,7,35,0,0,0,57,2,3,0.524527170695364,0,0.614035087719298,0.212121212121212,0.19,0.451181818181818,0,3.5,8.5,NA
"00-0025418","Greg Olsen","TE","SEA",2020,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,1,20,0,0,0,15,5,1,1.25287725299131,0,1.33333333333333,0.0333333333333333,0.043731778425656,0.0806122448979592,0,2,3,NA
"00-0025418","Greg Olsen","TE","SEA",2020,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,3,18,0,0,0,37,4,2,1.74050677369814,0,0.486486486486487,0.0625,0.0856481481481482,0.153703703703704,0,1.8,3.8,NA
