"week","team","opponent_team"
9,"TEN","PIT"
9,"MIA","KC"
9,"CHI","NO"
9,"ARI","CLE"
9,"MIN","ATL"
9,"LA","GB"
9,"SEA","BAL"
9,"TB","HOU"
9,"WAS","NE"
9,"IND","CAR"
9,"DAL","PHI"
9,"NYG","LV"
9,"BUF","CIN"
9,"LAC","NYJ"
9,"PIT","TEN"
9,"KC","MIA"
9,"NO","CHI"
9,"CLE","ARI"
9,"ATL","MIN"
9,"GB","LA"
9,"BAL","SEA"
9,"HOU","TB"
9,"NE","WAS"
9,"CAR","IND"
9,"PHI","DAL"
9,"LV","NYG"
9,"CIN","BUF"
9,"NYJ","LAC"
10,"CAR","CHI"
10,"IND","NE"
10,"CLE","BAL"
10,"GB","PIT"
10,"HOU","CIN"
10,"NO","MIN"
10,"TEN","TB"
10,"SF","JAX"
10,"ATL","ARI"
10,"DET","LAC"
10,"NYG","DAL"
10,"WAS","SEA"
10,"NYJ","LV"
10,"DEN","BUF"
10,"CHI","CAR"
10,"NE","IND"
10,"BAL","CLE"
10,"PIT","GB"
10,"CIN","HOU"
10,"MIN","NO"
10,"TB","TEN"
10,"JAX","SF"
10,"ARI","ATL"
10,"LAC","DET"
10,"DAL","NYG"
10,"SEA","WAS"
10,"LV","NYJ"
10,"BUF","DEN"
11,"CIN","BAL"
11,"CHI","DET"
11,"ARI","HOU"
11,"DAL","CAR"
11,"NYG","WAS"
11,"TEN","JAX"
11,"PIT","CLE"
11,"LV","MIA"
11,"LAC","GB"
11,"TB","SF"
11,"NYJ","BUF"
11,"SEA","LA"
11,"MIN","DEN"
11,"PHI","KC"
11,"BAL","CIN"
11,"DET","CHI"
11,"HOU","ARI"
11,"CAR","DAL"
11,"WAS","NYG"
11,"JAX","TEN"
11,"CLE","PIT"
11,"MIA","LV"
11,"GB","LAC"
11,"SF","TB"
11,"BUF","NYJ"
11,"LA","SEA"
11,"DEN","MIN"
11,"KC","PHI"
12,"GB","DET"
12,"WAS","DAL"
12,"SF","SEA"
12,"MIA","NYJ"
12,"CAR","TEN"
12,"JAX","HOU"
12,"NO","ATL"
12,"NE","NYG"
12,"PIT","CIN"
12,"TB","IND"
12,"CLE","DEN"
12,"LA","ARI"
12,"BUF","PHI"
12,"KC","LV"
12,"BAL","LAC"
12,"CHI","MIN"
12,"DET","GB"
12,"DAL","WAS"
12,"SEA","SF"
12,"NYJ","MIA"
12,"TEN","CAR"
12,"HOU","JAX"
12,"ATL","NO"
12,"NYG","NE"
12,"CIN","PIT"
