"Team","Pass Att","Cmp","Cmp %","Yds/Att","Yds","Pass TD Allowed","INT","1st","1st%","Sck"
"NYG",93,59,63.4,7.2,671,3,0,32,34.4,2
"NE",63,43,68.2,6.3,398,2,1,23,36.5,4
"LAR",51,33,64.7,5.9,301,1,0,18,35.3,3
"HOU",55,42,76.4,7,382,1,1,21,38.2,4
"SF",134,87,64.9,4.6,616,2,5,32,23.9,8
"MIN",57,39,68.4,6,340,3,1,13,22.8,5
"KC",77,45,58.4,5.8,447,1,0,25,32.5,5
"BUF",46,30,65.2,6.6,302,2,3,17,37,3
"PIT",69,41,59.4,6,413,3,1,25,36.2,9
"MIA",75,54,72,5.3,400,2,1,20,26.7,7
"JAX",80,53,66.2,6.4,513,3,2,24,30,5
"LAC",69,48,69.6,9.6,666,4,1,32,46.4,5
"CIN",62,40,64.5,6.2,381,3,1,21,33.9,3
"IND",79,54,68.4,7.3,574,4,1,28,35.4,8
"CAR",55,37,67.3,5.4,298,1,1,17,30.9,8
"DET",80,53,66.2,6.7,537,4,1,28,35,1
"NO",67,38,56.7,4.8,320,1,3,16,23.9,7
"WAS",62,39,62.9,6.3,391,3,1,17,27.4,10
"CLE",62,29,46.8,4.3,267,1,1,9,14.5,4
"TB",73,49,67.1,6.8,497,3,3,24,32.9,8
"SEA",73,52,71.2,8.9,650,3,1,34,46.6,2
"CHI",61,41,67.2,9.1,554,4,0,20,32.8,1
"DEN",65,47,72.3,7.2,466,4,1,22,33.8,4
"DAL",57,29,50.9,3.8,214,1,5,11,19.3,10
"ARI",68,45,66.2,6.9,468,3,2,25,36.8,9
"TEN",74,50,67.6,7.6,563,3,1,26,35.1,7
"PHI",98,66,67.4,6.6,652,7,1,37,37.8,4
"BAL",85,55,64.7,4.8,412,2,1,26,30.6,6
"GB",69,43,62.3,6.1,424,2,2,22,31.9,5
"ATL",63,34,54,4.2,267,4,2,19,30.2,3
"LV",71,58,81.7,6.1,433,5,0,28,39.4,4
"NYJ",79,60,76,5.9,465,3,3,27,34.2,6
