"Team","Gms","TotPts","PtsG","RushYds","RYdsG","PassYds","PYdsG","TotYds","YdsG"
"Los Angeles Rams",17,289,17,1866,109.8,2771,163,4637,272.8
"Washington Football Team",17,404,23.8,1935,113.8,3266,192.1,5201,305.9
"Pittsburgh Steelers",17,365,21.5,1760,103.5,3510,206.5,5270,310
"New Orleans Saints",17,303,17.8,2103,123.7,3181,187.1,5284,310.8
"San Francisco 49ers",17,371,21.8,1857,109.2,3439,202.3,5296,311.5
"Tampa Bay Buccaneers",17,407,23.9,2127,125.1,3257,191.6,5384,316.7
"Baltimore Ravens",17,335,19.7,1589,93.5,3821,224.8,5410,318.2
"Indianapolis Colts",17,322,18.9,1892,111.3,3652,214.8,5544,326.1
"Green Bay Packers",17,371,21.8,1855,109.1,3724,219.1,5579,328.2
"Los Angeles Chargers",17,385,22.6,1834,107.9,3756,220.9,5590,328.8
"Chicago Bears",17,366,21.5,1952,114.8,3645,214.4,5597,329.2
"New York Giants",17,354,20.8,1438,84.6,4169,245.2,5607,329.8
"Arizona Cardinals",17,353,20.8,1573,92.5,4062,238.9,5635,331.5
"Buffalo Bills",17,439,25.8,1943,114.3,3789,222.9,5732,337.2
"New England Patriots",17,373,21.9,1867,109.8,3871,227.7,5738,337.5
"Kansas City Chiefs",17,365,21.5,1854,109.1,3980,234.1,5834,343.2
"Cleveland Browns",17,372,21.9,1754,103.2,4109,241.7,5863,344.9
"Carolina Panthers",17,376,22.1,1742,102.5,4222,248.4,5964,350.8
"Philadelphia Eagles",17,358,21.1,1918,112.8,4049,238.2,5967,351
"Miami Dolphins",17,457,26.9,2127,125.1,3875,227.9,6002,353.1
"Denver Broncos",17,416,24.5,2193,129,3839,225.8,6032,354.8
"Seattle Seahawks",17,434,25.5,1775,104.4,4333,254.9,6108,359.3
"Dallas Cowboys",17,459,27,2361,138.9,3761,221.2,6122,360.1
"New York Jets",17,398,23.4,2483,146.1,3656,215.1,6139,361.1
"Las Vegas Raiders",17,392,23.1,1436,84.5,4742,278.9,6178,363.4
"Cincinnati Bengals",17,459,27,2242,131.9,3952,232.5,6194,364.4
"Minnesota Vikings",17,364,21.4,1999,117.6,4273,251.4,6272,368.9
"Tennessee Titans",17,366,21.5,1932,113.6,4513,265.5,6445,379.1
"Atlanta Falcons",17,467,27.5,2296,135.1,4160,244.7,6456,379.8
"Houston Texans",17,426,25.1,2222,130.7,4300,252.9,6522,383.6
"Jacksonville Jaguars",17,452,26.6,2418,142.2,4117,242.2,6535,384.4
"Detroit Lions",17,504,29.6,2351,138.3,4409,259.4,6760,397.6
