"Team","3rd Att","3rd Md","4th Att","4th Md","Rec 1st","Rec 1st%","Rush 1st","Rush 1st%","Scrm Plys"
"NYG",40,15,6,4,26,40,18,27.3,178
"SF",38,17,1,1,37,60.7,25,24.8,198
"HOU",37,16,6,3,31,53.4,4,8.2,151
"NO",32,14,0,0,23,51.1,12,20,138
"TB",32,14,2,2,19,40.4,13,19.4,136
"DAL",31,15,2,1,24,54.6,15,20.3,138
"LAR",31,18,3,2,34,58.6,17,27.4,156
"CIN",30,12,2,1,16,39,6,17.1,111
"CLE",30,9,2,0,21,55.3,19,25.3,153
"NE",30,12,6,2,28,42.4,15,31.9,149
"BAL",29,17,0,0,20,48.8,18,26.1,128
"PIT",29,9,3,1,15,32.6,6,19.4,114
"LAC",29,11,4,3,24,48,21,34.4,141
"CAR",28,9,3,1,17,40.5,13,25.5,128
"KC",27,9,3,2,22,44,13,28.9,126
"PHI",27,10,2,1,12,30,25,34.2,136
"BUF",26,12,4,3,28,46.7,18,31.6,142
"CHI",26,9,2,1,21,52.5,13,28.9,121
"DET",26,11,6,2,28,56,13,21.3,134
"ATL",25,8,4,3,16,47.1,22,31,126
"GB",25,12,3,1,20,69,9,17,107
"TEN",25,8,1,0,17,47.2,15,26.8,122
"IND",24,8,5,1,25,51,10,20.4,125
"JAX",24,6,5,1,24,51.1,10,18.9,133
"MIN",24,12,1,1,34,53.1,2,7.7,118
"ARI",24,8,1,0,20,47.6,14,25.9,118
"DEN",23,9,2,2,19,42.2,15,33.3,120
"NYJ",23,6,2,2,13,50,9,20.4,99
"WAS",22,7,1,1,21,45.6,18,35.3,131
"SEA",20,7,1,1,25,52.1,10,23.3,113
"MIA",19,8,1,1,38,77.6,11,22,126
"LV",18,8,1,1,21,58.3,7,15.9,94
