"Team","Pass Att","Cmp","Cmp %","Yds/Att","Pass Yds","Pass TD","INT","Rate","1st","1st%","20+ Yd Rec","40+ Yd Rec","Lng Rec","Sck","SckY","Rec","Rec Yards","Yds/Rec","20+","40+","Lng","Rec 1st","Rec 1st%","Rec FUM","Rush Att","Rush Yds","YPC","Rush TD","20+ Yd Rush","40+ Yd Rush","Rush Lng","Rush 1st","Rush 1st%","Rush FUM","3rd Att","3rd Md","4th Att","4th Md","Scrm Plys"
"DET",70,50,71.4,8.2,576,4,1,109,28,40,"10","0","39 ",3,10,50,576,11.5,10,0,"39T",28,56,2,61,220,3.6,2,0,0,"18",13,21.3,1,26,11,6,2,134
"GB",52,29,55.8,7.6,396,6,0,118.8,20,38.5,"5","1","51 ",2,19,29,396,13.7,5,1,"51T",20,69,0,53,176,3.3,1,1,0,"24",9,17,1,25,12,3,1,107
"HOU",91,58,63.7,6.9,626,2,0,91.2,31,34.1,"8","0","32 ",11,93,58,626,10.8,8,0,"32T",31,53.4,0,49,124,2.5,0,0,0,"11",4,8.2,1,37,16,6,3,151
"IND",72,49,68.1,6.2,450,2,1,88.3,25,34.7,"5","1","43 ",4,8,49,450,9.2,5,1,"43T",25,51,2,49,191,3.9,4,0,0,"18",10,20.4,1,24,8,5,1,125
"JAX",74,47,63.5,6.2,456,2,1,84.1,24,32.4,"5","1","45 ",6,22,47,456,9.7,5,1,"45T",24,51.1,1,53,179,3.4,2,1,0,"26T",10,18.9,1,24,6,5,1,133
"KC",80,50,62.5,6.6,531,4,2,88.1,22,27.5,"6","1","54 ",1,7,50,531,10.6,6,1,"54T",22,44,2,45,191,4.2,0,1,0,"31",13,28.9,0,27,9,3,2,126
"LAC",74,50,67.6,7.2,534,3,0,102,24,32.4,"7","1","42 ",6,53,50,534,10.7,7,1,"42",24,48,0,61,294,4.8,3,1,1,"55",21,34.4,0,29,11,4,3,141
"LAR",93,58,62.4,6.9,641,1,2,77.4,34,36.6,"7","1","44 ",1,10,58,641,11,7,1,"44",34,58.6,0,62,181,2.9,4,0,0,"12",17,27.4,0,31,18,3,2,156
"LV",50,36,72,7.7,385,3,3,89.2,21,42,"4","0","23 ",0,0,36,385,10.7,4,0,"23",21,58.3,0,44,116,2.6,0,1,0,"34",7,15.9,2,18,8,1,1,94
"MIA",75,49,65.3,9.5,715,4,2,102.9,38,50.7,"11","1","47 ",1,5,49,715,14.6,11,1,"47",38,77.6,0,50,215,4.3,3,1,1,"43T",11,22,4,19,8,1,1,126
"MIN",88,64,72.7,8,708,6,1,114.2,34,38.6,"11","2","62 ",4,34,64,708,11.1,11,2,"62T",34,53.1,1,26,69,2.6,0,0,0,"9",2,7.7,2,24,12,1,1,118
"NE",96,66,68.8,5.7,547,4,2,88.3,28,29.2,"2","0","32 ",6,41,66,547,8.3,2,0,"32T",28,42.4,2,47,164,3.5,1,0,0,"18",15,31.9,0,30,12,6,2,149
"NO",70,45,64.3,7.7,541,1,2,80.7,23,32.9,"8","4","45 ",8,52,45,541,12,8,4,"45",23,51.1,0,60,203,3.4,2,0,0,"19",12,20,1,32,14,0,0,138
"NYG",100,65,65,5.7,568,2,4,69.9,26,26,"6","1","58 ",12,72,65,568,8.7,6,1,"58",26,40,2,66,264,4,3,0,0,"18T",18,27.3,1,40,15,6,4,178
"NYJ",49,26,53.1,6.3,310,2,4,52.2,13,26.5,"4","1","68 ",6,42,26,310,11.9,4,1,"68T",13,50,0,44,236,5.4,0,2,1,"83",9,20.4,2,23,6,2,2,99
"PHI",56,40,71.4,6.5,363,2,1,93.1,12,21.4,"3","2","63 ",7,38,40,363,9.1,3,2,"63T",12,30,0,73,356,4.9,3,1,1,"43",25,34.2,1,27,10,2,1,136
"PIT",76,46,60.5,6,454,2,3,69.7,15,19.7,"6","1","71 ",7,56,46,454,9.9,6,1,"71",15,32.6,1,31,96,3.1,0,2,0,"24",6,19.4,0,29,9,3,1,114
"SEA",67,48,71.6,6.6,440,3,0,104.1,25,37.3,"4","0","31 ",3,34,48,440,9.2,4,0,"31",25,52.1,0,43,167,3.9,2,0,0,"15",10,23.3,0,20,7,1,1,113
"SF",91,61,67,8.1,736,4,0,106.3,37,40.7,"11","1","40 ",6,27,61,736,12.1,11,1,"40",37,60.7,2,101,488,4.8,5,2,2,"65T",25,24.8,2,38,17,1,1,198
"TB",68,47,69.1,7.2,490,3,0,104.4,19,27.9,"7","1","70 ",1,4,47,490,10.4,7,1,"70",19,40.4,1,67,193,2.9,1,0,0,"14",13,19.4,0,32,14,2,2,136
"TEN",58,36,62.1,7.7,444,1,3,69.9,17,29.3,"6","3","70 ",8,63,36,444,12.3,6,3,"70",17,47.2,0,56,245,4.4,2,1,0,"23T",15,26.8,0,25,8,1,0,122
"WAS",70,46,65.7,7.2,501,3,1,95,21,30,"6","0","36 ",10,79,46,501,10.9,6,0,"36T",21,45.6,0,51,214,4.2,3,1,0,"27",18,35.3,1,22,7,1,1,131
