"Team","Pass Att","Cmp","Cmp %","Yds/Att","Pass Yds","Pass TD","INT","Rate","1st","1st%","20+ Yd Rec","40+ Yd Rec","Lng Rec","Sck","SckY","Rec","Rec Yards","Yds/Rec","20+","40+","Lng","Rec 1st","Rec 1st%","Rec FUM","Rush Att","Rush Yds","YPC","Rush TD","20+ Yd Rush","40+ Yd Rush","Rush Lng","Rush 1st","Rush 1st%","Rush FUM","3rd Att","3rd Md","4th Att","4th Md","Scrm Plys"
"ARI",61,42,68.8,5.9,360,1,0,89.5,20,32.8,"4","0","31 ",3,18,42,360,8.6,4,0,"31",20,47.6,0,54,247,4.6,2,4,0,"29T",14,25.9,2,24,8,1,0,118
"ATL",50,34,68,7,352,2,1,93.1,16,32,"5","1","45 ",5,26,34,352,10.4,5,1,"45",16,47.1,0,71,341,4.8,3,2,0,"22",22,31,0,25,8,4,3,126
"BAL",55,41,74.6,7.4,406,2,1,99.5,20,36.4,"5","1","52 ",4,14,41,406,9.9,5,1,"52T",20,48.8,0,69,288,4.2,4,1,0,"20T",18,26.1,1,29,17,0,0,128
"BUF",78,60,76.9,6.5,510,4,3,94.5,28,35.9,"3","1","40 ",7,26,60,510,8.5,3,1,"40T",28,46.7,0,57,280,4.9,2,1,0,"36",18,31.6,2,26,12,4,3,142
"CAR",71,42,59.2,4.2,299,2,2,66.6,17,23.9,"1","0","22 ",6,33,42,299,7.1,1,0,"22",17,40.5,0,51,254,5,0,2,0,"26",13,25.5,2,28,9,3,1,128
"CHI",66,40,60.6,6.5,427,2,3,70.7,21,31.8,"7","0","33 ",10,69,40,427,10.7,7,0,"33T",21,52.5,0,45,189,4.2,2,1,0,"29",13,28.9,1,26,9,2,1,121
"CIN",73,41,56.2,4.2,304,2,1,69.7,16,21.9,"2","0","32 ",3,21,41,304,7.4,2,0,"32",16,39,0,35,141,4,0,1,0,"22",6,17.1,0,30,12,2,1,111
"CLE",69,38,55.1,5.6,389,2,2,69,21,30.4,"4","0","33 ",9,35,38,389,10.2,4,0,"33T",21,55.3,1,75,404,5.4,2,2,1,"69",19,25.3,3,30,9,2,0,153
"DAL",63,44,69.8,6.3,398,2,0,97.2,24,38.1,"5","1","49 ",1,7,44,398,9,5,1,"49T",24,54.6,2,74,256,3.5,3,2,0,"25T",15,20.3,0,31,15,2,1,138
"DEN",66,45,68.2,7.4,485,5,1,108.5,19,28.8,"6","3","60 ",9,42,45,485,10.8,6,3,"60",19,42.2,0,45,216,4.8,1,0,0,"15T",15,33.3,0,23,9,2,2,120
