"player_id","player_name","position","recent_team","season","week","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr","opponent_team"
"00-0025394","Adrian Peterson","RB","DET",2020,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,7,41,0,0,0,3,1.91965998779051,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,4.1,4.1,NA
"00-0025394","Adrian Peterson","RB","DET",2020,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,22,75,0,0,0,2,-4.0038185036392,0,1,1,10,0,0,0,-3,13,1,1.00113959237933,0,-3.33333333333333,0.032258064516129,-0.0136363636363636,0.038841642228739,0,8.5,9.5,NA
"00-0025394","Adrian Peterson","RB","DET",2020,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,11,36,1,0,0,1,-0.347339445259422,0,0,2,0,0,0,0,-2,0,0,-1.69240830047056,0,0,0.0666666666666667,-0.00606060606060606,0.0957575757575758,0,9.6,9.6,NA
"00-0025394","Adrian Peterson","RB","DET",2020,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,15,40,1,0,0,3,-2.38357154879486,0,1,1,18,0,0,0,9,9,1,1.80597408441827,0,2,0.032258064516129,0.033457249070632,0.0718071711236359,0,11.8,12.8,NA
"00-0025394","Adrian Peterson","RB","DET",2020,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,11,29,0,0,0,1,-4.75049815798411,0,1,1,1,0,0,0,0,1,0,-0.526200911030173,0,0,0.03125,0,0.046875,0,3,4,NA
"00-0025394","Adrian Peterson","RB","DET",2020,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,5,7,0,0,0,0,-2.78526576131117,0,1,1,5,0,0,0,0,5,0,-0.118588541867211,0,0,0.025,0,0.0375,0,1.2,2.2,NA
"00-0025394","Adrian Peterson","RB","DET",2020,9,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,8,29,0,0,0,3,-1.65881459321605,0,3,5,14,0,0,0,4,15,1,-0.489012879086658,0,3.5,0.113636363636364,0.0146520146520147,0.180710955710956,0,4.3,7.3,NA
"00-0025394","Adrian Peterson","RB","DET",2020,10,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,4,21,0,0,0,2,-0.0171051666839048,0,1,1,9,0,0,0,0,9,0,0.723288602544926,0,0,0.03125,0,0.046875,0,3,4,NA
"00-0025394","Adrian Peterson","RB","DET",2020,11,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,7,18,0,0,0,0,-2.44816389656626,0,0,1,0,0,0,0,0,0,0,-0.789412199053913,0,0,0.03125,0,0.046875,0,1.8,1.8,NA
"00-0025394","Adrian Peterson","RB","DET",2020,12,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,15,55,2,0,0,5,0.668048254621681,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,17.5,17.5,NA
