"Week","Winner.tie","X","Loser.tie","PtsW","PtsL","YdsW","TOW","YdsL","TOL"
7,"DET","@","BAL",NA,NA,NA,NA,NA,NA
7,"LV","@","CHI",NA,NA,NA,NA,NA,NA
7,"WAS","@","NYG",NA,NA,NA,NA,NA,NA
7,"ARI","@","SEA",NA,NA,NA,NA,NA,NA
7,"PIT","@","LA",NA,NA,NA,NA,NA,NA
7,"GB","@","DEN",NA,NA,NA,NA,NA,NA
7,"LAC","@","KC",NA,NA,NA,NA,NA,NA
7,"MIA","@","PHI",NA,NA,NA,NA,NA,NA
7,"SF","@","MIN",NA,NA,NA,NA,NA,NA
8,"TB","@","BUF",NA,NA,NA,NA,NA,NA
8,"ATL","@","TEN",NA,NA,NA,NA,NA,NA
8,"HOU","@","CAR",NA,NA,NA,NA,NA,NA
8,"JAX","@","PIT",NA,NA,NA,NA,NA,NA
8,"MIN","@","GB",NA,NA,NA,NA,NA,NA
8,"NO","@","IND",NA,NA,NA,NA,NA,NA
8,"NE","@","MIA",NA,NA,NA,NA,NA,NA
8,"NYJ","@","NYG",NA,NA,NA,NA,NA,NA
8,"PHI","@","WAS",NA,NA,NA,NA,NA,NA
8,"LA","@","DAL",NA,NA,NA,NA,NA,NA
8,"CLE","@","SEA",NA,NA,NA,NA,NA,NA
8,"CIN","@","SF",NA,NA,NA,NA,NA,NA
8,"KC","@","DEN",NA,NA,NA,NA,NA,NA
8,"BAL","@","ARI",NA,NA,NA,NA,NA,NA
8,"CHI","@","LAC",NA,NA,NA,NA,NA,NA
8,"LV","@","DET",NA,NA,NA,NA,NA,NA
9,"TEN","@","PIT",NA,NA,NA,NA,NA,NA
9,"MIA","@","KC",NA,NA,NA,NA,NA,NA
9,"CHI","@","NO",NA,NA,NA,NA,NA,NA
9,"ARI","@","CLE",NA,NA,NA,NA,NA,NA
9,"MIN","@","ATL",NA,NA,NA,NA,NA,NA
9,"LA","@","GB",NA,NA,NA,NA,NA,NA
9,"SEA","@","BAL",NA,NA,NA,NA,NA,NA
9,"TB","@","HOU",NA,NA,NA,NA,NA,NA
9,"WAS","@","NE",NA,NA,NA,NA,NA,NA
9,"IND","@","CAR",NA,NA,NA,NA,NA,NA
9,"DAL","@","PHI",NA,NA,NA,NA,NA,NA
9,"NYG","@","LV",NA,NA,NA,NA,NA,NA
9,"BUF","@","CIN",NA,NA,NA,NA,NA,NA
9,"LAC","@","NYJ",NA,NA,NA,NA,NA,NA
10,"CAR","@","CHI",NA,NA,NA,NA,NA,NA
10,"IND","@","NE",NA,NA,NA,NA,NA,NA
10,"CLE","@","BAL",NA,NA,NA,NA,NA,NA
10,"GB","@","PIT",NA,NA,NA,NA,NA,NA
10,"HOU","@","CIN",NA,NA,NA,NA,NA,NA
10,"NO","@","MIN",NA,NA,NA,NA,NA,NA
10,"TEN","@","TB",NA,NA,NA,NA,NA,NA
10,"SF","@","JAX",NA,NA,NA,NA,NA,NA
10,"ATL","@","ARI",NA,NA,NA,NA,NA,NA
10,"DET","@","LAC",NA,NA,NA,NA,NA,NA
10,"NYG","@","DAL",NA,NA,NA,NA,NA,NA
10,"WAS","@","SEA",NA,NA,NA,NA,NA,NA
10,"NYJ","@","LV",NA,NA,NA,NA,NA,NA
10,"DEN","@","BUF",NA,NA,NA,NA,NA,NA
11,"CIN","@","BAL",NA,NA,NA,NA,NA,NA
11,"CHI","@","DET",NA,NA,NA,NA,NA,NA
11,"ARI","@","HOU",NA,NA,NA,NA,NA,NA
11,"DAL","@","CAR",NA,NA,NA,NA,NA,NA
11,"NYG","@","WAS",NA,NA,NA,NA,NA,NA
11,"TEN","@","JAX",NA,NA,NA,NA,NA,NA
11,"PIT","@","CLE",NA,NA,NA,NA,NA,NA
11,"LV","@","MIA",NA,NA,NA,NA,NA,NA
11,"LAC","@","GB",NA,NA,NA,NA,NA,NA
11,"TB","@","SF",NA,NA,NA,NA,NA,NA
11,"NYJ","@","BUF",NA,NA,NA,NA,NA,NA
11,"SEA","@","LA",NA,NA,NA,NA,NA,NA
11,"MIN","@","DEN",NA,NA,NA,NA,NA,NA
11,"PHI","@","KC",NA,NA,NA,NA,NA,NA
12,"GB","@","DET",NA,NA,NA,NA,NA,NA
12,"WAS","@","DAL",NA,NA,NA,NA,NA,NA
12,"SF","@","SEA",NA,NA,NA,NA,NA,NA
12,"MIA","@","NYJ",NA,NA,NA,NA,NA,NA
12,"CAR","@","TEN",NA,NA,NA,NA,NA,NA
12,"JAX","@","HOU",NA,NA,NA,NA,NA,NA
12,"NO","@","ATL",NA,NA,NA,NA,NA,NA
12,"NE","@","NYG",NA,NA,NA,NA,NA,NA
12,"PIT","@","CIN",NA,NA,NA,NA,NA,NA
12,"TB","@","IND",NA,NA,NA,NA,NA,NA
12,"CLE","@","DEN",NA,NA,NA,NA,NA,NA
12,"LA","@","ARI",NA,NA,NA,NA,NA,NA
12,"BUF","@","PHI",NA,NA,NA,NA,NA,NA
12,"KC","@","LV",NA,NA,NA,NA,NA,NA
12,"BAL","@","LAC",NA,NA,NA,NA,NA,NA
12,"CHI","@","MIN",NA,NA,NA,NA,NA,NA
13,"SEA","@","DAL",NA,NA,NA,NA,NA,NA
13,"ATL","@","NYJ",NA,NA,NA,NA,NA,NA
13,"CAR","@","TB",NA,NA,NA,NA,NA,NA
13,"IND","@","TEN",NA,NA,NA,NA,NA,NA
13,"ARI","@","PIT",NA,NA,NA,NA,NA,NA
13,"DET","@","NO",NA,NA,NA,NA,NA,NA
13,"MIA","@","WAS",NA,NA,NA,NA,NA,NA
13,"LAC","@","NE",NA,NA,NA,NA,NA,NA
13,"DEN","@","HOU",NA,NA,NA,NA,NA,NA
13,"CLE","@","LA",NA,NA,NA,NA,NA,NA
13,"SF","@","PHI",NA,NA,NA,NA,NA,NA
13,"KC","@","GB",NA,NA,NA,NA,NA,NA
13,"CIN","@","JAX",NA,NA,NA,NA,NA,NA
14,"NE","@","PIT",NA,NA,NA,NA,NA,NA
14,"CAR","@","NO",NA,NA,NA,NA,NA,NA
14,"IND","@","CIN",NA,NA,NA,NA,NA,NA
14,"DET","@","CHI",NA,NA,NA,NA,NA,NA
14,"HOU","@","NYJ",NA,NA,NA,NA,NA,NA
14,"JAX","@","CLE",NA,NA,NA,NA,NA,NA
14,"LA","@","BAL",NA,NA,NA,NA,NA,NA
14,"TB","@","ATL",NA,NA,NA,NA,NA,NA
14,"MIN","@","LV",NA,NA,NA,NA,NA,NA
14,"SEA","@","SF",NA,NA,NA,NA,NA,NA
14,"BUF","@","KC",NA,NA,NA,NA,NA,NA
14,"DEN","@","LAC",NA,NA,NA,NA,NA,NA
14,"PHI","@","DAL",NA,NA,NA,NA,NA,NA
14,"GB","@","NYG",NA,NA,NA,NA,NA,NA
14,"TEN","@","MIA",NA,NA,NA,NA,NA,NA
15,"LAC","@","LV",NA,NA,NA,NA,NA,NA
15,"ATL","@","CAR",NA,NA,NA,NA,NA,NA
15,"CHI","@","CLE",NA,NA,NA,NA,NA,NA
15,"DEN","@","DET",NA,NA,NA,NA,NA,NA
15,"HOU","@","TEN",NA,NA,NA,NA,NA,NA
15,"MIN","@","CIN",NA,NA,NA,NA,NA,NA
