"Team","Rec","Rec Yards","Yds/Rec","TD","20+","40+","Lng","Rec 1st","Rec 1st%","Rec FUM"
"NE",66,547,8.3,4,2,0,"32T",28,42.4,2
"NYG",65,568,8.7,2,6,1,"58",26,40,2
"MIN",64,708,11.1,6,11,2,"62T",34,53.1,1
"SF",61,736,12.1,4,11,1,"40",37,60.7,2
"BUF",60,510,8.5,4,3,1,"40T",28,46.7,0
"HOU",58,626,10.8,2,8,0,"32T",31,53.4,0
"LAR",58,641,11,1,7,1,"44",34,58.6,0
"DET",50,576,11.5,4,10,0,"39T",28,56,2
"KC",50,531,10.6,4,6,1,"54T",22,44,2
"LAC",50,534,10.7,3,7,1,"42",24,48,0
"IND",49,450,9.2,2,5,1,"43T",25,51,2
"MIA",49,715,14.6,4,11,1,"47",38,77.6,0
"SEA",48,440,9.2,3,4,0,"31",25,52.1,0
"JAX",47,456,9.7,2,5,1,"45T",24,51.1,1
"TB",47,490,10.4,3,7,1,"70",19,40.4,1
"PIT",46,454,9.9,2,6,1,"71",15,32.6,1
"WAS",46,501,10.9,3,6,0,"36T",21,45.6,0
"DEN",45,485,10.8,5,6,3,"60",19,42.2,0
"NO",45,541,12,1,8,4,"45",23,51.1,0
"DAL",44,398,9,2,5,1,"49T",24,54.6,2
"CAR",42,299,7.1,2,1,0,"22",17,40.5,0
"ARI",42,360,8.6,1,4,0,"31",20,47.6,0
"BAL",41,406,9.9,2,5,1,"52T",20,48.8,0
"CIN",41,304,7.4,2,2,0,"32",16,39,0
"CHI",40,427,10.7,2,7,0,"33T",21,52.5,0
"PHI",40,363,9.1,2,3,2,"63T",12,30,0
"CLE",38,389,10.2,2,4,0,"33T",21,55.3,1
"TEN",36,444,12.3,1,6,3,"70",17,47.2,0
"LV",36,385,10.7,3,4,0,"23",21,58.3,0
"ATL",34,352,10.4,2,5,1,"45",16,47.1,0
"GB",29,396,13.7,6,5,1,"51T",20,69,0
"NYJ",26,310,11.9,2,4,1,"68T",13,50,0
