"Team","Rush Att","Rush Yds","YPC","Rush TD Allowed","Rush 1st","Rush 1st%"
"ATL",500,2214,4.4,15,136,27.2
"CHI",542,2674,4.9,31,151,27.9
"PHI",446,2068,4.6,15,115,25.8
"WAS",441,1926,4.4,10,102,23.1
"CLE",488,2295,4.7,22,129,26.4
"DAL",497,2198,4.4,9,119,23.9
"BAL",406,1566,3.9,11,91,22.4
"NYG",469,2451,5.2,16,134,28.6
"SF",389,1321,3.4,11,77,19.8
"PIT",442,1838,4.2,7,95,21.5
"TEN",390,1307,3.4,9,93,23.8
"CAR",488,2085,4.3,17,125,25.6
"DET",477,2491,5.2,22,135,28.3
"NO",492,2218,4.5,14,122,24.8
"GB",479,2372,5,18,129,26.9
"JAX",470,1951,4.2,14,114,24.3
"DEN",438,1866,4.3,12,109,24.9
"IND",511,2109,4.1,20,127,24.8
"ARI",446,2016,4.5,21,124,27.8
"BUF",387,1673,4.3,10,103,26.6
"LV",460,2087,4.5,20,126,27.4
"NE",441,1793,4.1,7,90,20.4
"SEA",525,2554,4.9,21,130,24.8
"KC",419,1823,4.4,10,102,24.3
"LAR",455,1956,4.3,12,106,23.3
"NYJ",492,2068,4.2,14,117,23.8
"MIN",463,2093,4.5,18,113,24.4
"LAC",457,2478,5.4,17,119,26
"CIN",407,1706,4.2,12,102,25.1
"HOU",573,2894,5,25,150,26.2
"MIA",422,1751,4.2,15,98,23.2
"TB",458,2052,4.5,12,103,22.5
