"Team","Rush Att","Rush Yds","YPC","Rush TD Allowed","Rush 1st","Rush 1st%"
"BAL",382,1740,4.6,12,96,25.1
"TEN",427,1933,4.5,18,113,26.5
"NE",464,2103,4.5,17,131,28.2
"CLE",412,1773,4.3,16,116,28.2
"NO",390,1502,3.8,11,85,21.8
"ARI",436,2008,4.6,13,118,27.1
"LAR",388,1460,3.8,12,91,23.4
"MIN",472,2151,4.6,19,136,28.8
"LAC",427,1917,4.5,17,112,26.2
"IND",390,1448,3.7,16,94,24.1
"LV",438,2013,4.6,24,114,26
"GB",397,1805,4.6,16,119,30
"DEN",434,2080,4.8,22,106,24.4
"SF",430,1703,4,12,102,23.7
"DAL",510,2541,5,20,142,27.8
"MIA",412,1862,4.5,17,113,27.4
"BUF",414,1914,4.6,21,125,30.2
"CIN",463,2368,5.1,13,126,27.2
"SEA",392,1529,3.9,18,97,24.7
"ATL",380,1677,4.4,15,97,25.5
"CAR",408,1936,4.8,17,114,27.9
"NYJ",445,1792,4,16,100,22.5
"KC",433,1954,4.5,14,113,26.1
"PHI",481,2012,4.2,20,98,20.4
"WAS",428,1805,4.2,14,100,23.4
"NYG",432,1782,4.1,14,115,26.6
"CHI",438,1814,4.1,11,104,23.7
"PIT",414,1783,4.3,13,94,22.7
"TB",358,1289,3.6,10,78,21.8
"DET",487,2158,4.4,27,127,26.1
"HOU",493,2564,5.2,24,145,29.4
"JAX",517,2452,4.7,23,140,27.1
