"Week","Winner.tie","X","Loser.tie","PtsW","PtsL","YdsW","TOW","YdsL","TOL"
"","","","",NA,NA,NA,NA,NA,NA
"1","BUF","@","LA",31,10,413,4,243,3
"1","NO","@","ATL",27,26,385,1,416,2
"1","CLE","@","CAR",26,24,355,0,261,1
"1","CHI","","SF",19,10,204,1,331,2
"1","PIT","@","CIN",23,20,267,0,432,5
"1","HOU","","IND",20,20,299,1,517,2
"1","PHI","@","DET",38,35,455,0,386,1
"1","WAS","","JAX",28,22,390,3,383,1
"1","MIA","","NE",20,7,307,0,271,3
"1","BAL","@","NYJ",24,9,274,1,380,2
"1","KC","@","ARI",44,21,488,1,282,0
"1","MIN","","GB",23,7,395,0,338,2
"1","NYG","@","TEN",21,20,394,2,359,1
"1","LAC","","LV",24,19,355,0,320,3
"1","TB","@","DAL",19,3,347,1,244,1
"1","SEA","","DEN",17,16,253,1,433,2
"2","KC","","LAC",27,24,319,0,401,1
"2","NYG","","CAR",19,16,265,0,275,2
"2","NYJ","@","CLE",31,30,402,1,405,1
"2","JAX","","IND",24,0,331,0,218,3
"2","DET","","WAS",36,27,425,0,396,1
"2","MIA","@","BAL",42,38,547,2,473,0
"2","TB","@","NO",20,10,260,1,308,5
"2","NE","@","PIT",17,14,376,1,243,2
"2","LA","","ATL",31,27,337,3,261,3
"2","SF","","SEA",27,7,373,0,216,3
"2","DAL","","CIN",20,17,337,1,254,0
"2","ARI","@","LV",29,23,413,1,324,1
"2","DEN","","HOU",16,9,350,1,234,0
"2","GB","","CHI",27,10,414,1,228,1
"2","BUF","","TEN",41,7,414,0,187,4
"2","PHI","","MIN",24,7,486,1,264,3
"3","CLE","","PIT",29,17,376,0,308,1
"3","MIA","","BUF",21,19,212,0,497,1
"3","CAR","","NO",22,14,293,0,426,3
"3","CHI","","HOU",23,20,363,2,329,2
"3","CIN","@","NYJ",27,12,330,1,328,4
"3","IND","","KC",20,17,259,1,315,2
"3","MIN","","DET",28,24,373,1,416,1
"3","BAL","@","NE",37,26,394,2,447,4
"3","TEN","","LV",24,22,361,1,396,1
"3","PHI","@","WAS",24,8,400,0,240,1
"3","JAX","@","LAC",38,10,413,0,312,2
"3","ATL","@","SEA",27,23,386,2,420,1
"3","LA","@","ARI",20,12,339,1,365,0
"3","GB","@","TB",14,12,315,2,285,2
"3","DEN","","SF",11,10,261,0,267,3
"3","DAL","@","NYG",23,16,391,0,336,1
"4","CIN","","MIA",27,15,371,0,378,2
"4","MIN","@","NO",28,25,344,1,338,2
"4","ATL","","CLE",23,20,333,1,403,2
"4","BUF","@","BAL",23,20,326,2,296,2
"4","NYG","","CHI",20,12,333,2,304,3
"4","TEN","@","IND",24,17,243,0,365,3
"4","DAL","","WAS",25,10,279,0,297,2
"4","SEA","@","DET",48,45,555,1,520,2
