"Team","3rd Att","3rd Md","4th Att","4th Md","Rec 1st","Rec 1st%","Rush 1st","Rush 1st%","Scrm Plys"
"PIT",230,97,19,10,206,48.1,81,21.7,1043
"LAR",226,98,17,8,206,52.6,123,26,1088
"WAS",225,88,19,11,184,47.3,108,27,1051
"LAC",224,99,25,12,226,54.7,111,23.8,1127
"ATL",221,97,26,15,243,59.6,86,21,1078
"PHI",220,82,35,15,177,53,114,28.3,1066
"DAL",215,87,31,17,231,55.9,115,26.7,1113
"CIN",213,77,27,19,201,54,92,22.4,1040
"DEN",212,82,15,4,176,55.5,94,21.3,1030
"NO",208,93,16,11,199,53.8,147,29.8,1045
"BAL",207,101,19,12,142,55.2,166,29.9,993
"JAX",207,84,26,7,205,53,80,23.7,997
"NYJ",206,70,18,7,146,50,94,23.2,948
"CHI",205,71,28,17,218,54.2,93,23.7,1043
"MIA",202,78,10,8,207,56,100,23.4,1021
"ARI",202,80,25,17,211,54.5,136,28.4,1083
"LV",198,91,21,16,206,55.8,121,26.5,1036
"NYG",198,72,22,14,178,55.4,91,22.8,966
"IND",197,78,26,16,201,54.2,129,28.1,1032
"SF",197,77,15,6,217,58.5,101,23.1,1046
"CLE",196,88,24,8,195,61.9,133,26.9,1022
"CAR",195,76,27,15,192,51.5,110,27,993
"KC",194,95,16,9,255,60.7,110,27.3,1057
"HOU",193,83,16,9,222,58,83,24.1,940
"DET",192,79,20,10,220,58.8,93,25.3,986
"TB",191,83,14,8,238,58,82,22.2,1017
"SEA",189,76,14,8,216,55.7,111,27,1022
"BUF",187,93,10,8,240,58.5,119,29,1034
"NE",186,76,17,9,157,55.5,143,28.5,979
"TEN",182,84,16,10,203,64.2,142,27.3,1031
"MIN",181,74,23,13,212,60.7,139,29.7,1028
"GB",180,89,21,13,216,58.1,114,25.7,990
