"Week","Winner.tie","X","Loser.tie","PtsW","PtsL","YdsW","TOW","YdsL","TOL"
"10","MIN","@","CHI",19,13,385,2,149,2
"11","SEA","","ARI",28,21,347,0,314,0
"11","NO","","ATL",24,9,376,1,248,2
"11","WAS","","CIN",20,9,325,1,272,2
"11","CLE","","PHI",22,17,324,1,315,3
"11","HOU","","NE",27,20,399,0,435,0
"11","PIT","@","JAX",27,3,373,1,206,4
"11","TEN","@","BAL",30,24,423,1,306,1
"11","CAR","","DET",20,0,374,2,185,1
"11","DEN","","MIA",20,13,459,2,223,1
"11","LAC","","NYJ",34,28,376,1,292,1
"11","IND","","GB",34,31,420,2,367,4
"11","DAL","@","MIN",31,28,376,1,430,2
"11","KC","@","LV",35,31,460,1,364,1
"11","LA","@","TB",27,24,413,2,251,2
"12","HOU","@","DET",41,25,384,1,388,3
"12","WAS","@","DAL",41,16,338,1,247,2
"12","ATL","","LV",43,6,304,1,243,5
"12","BUF","","LAC",27,17,332,3,367,1
"12","NYG","@","CIN",19,17,386,1,155,3
"12","CLE","@","JAX",27,25,459,1,375,0
"12","TEN","@","IND",45,26,449,0,336,1
"12","NE","","ARI",20,17,179,2,298,1
"12","MIA","@","NYJ",20,3,345,2,260,2
"12","MIN","","CAR",28,27,387,3,374,1
"12","NO","@","DEN",31,3,292,1,112,3
"12","SF","@","LA",23,20,345,3,308,4
"12","KC","@","TB",27,24,543,1,417,2
"12","GB","","CHI",41,25,393,0,350,3
"12","SEA","@","PHI",23,17,301,0,250,1
"12","PIT","","BAL",19,14,334,2,219,2
"13","NO","@","ATL",21,16,424,1,332,1
"13","DET","@","CHI",34,30,460,1,389,1
"13","MIA","","CIN",19,7,406,1,196,2
"13","CLE","@","TEN",41,35,458,1,431,3
"13","IND","@","HOU",26,20,371,0,398,2
"13","MIN","","JAX",27,24,420,2,390,4
"13","LV","@","NYJ",31,28,440,2,376,3
"13","LA","@","ARI",38,28,463,1,232,2
"13","NYG","@","SEA",17,12,290,1,327,2
"13","GB","","PHI",30,16,437,0,278,1
"13","NE","@","LAC",45,0,291,0,258,2
"13","KC","","DEN",22,16,447,0,330,2
"13","WAS","@","PIT",23,17,318,0,326,1
"13","BUF","@","SF",34,24,449,1,402,2
"13","BAL","","DAL",34,17,401,1,388,1
"14","LA","","NE",24,3,318,1,220,1
"14","DEN","@","CAR",32,27,365,1,370,0
"14","CHI","","HOU",36,7,410,0,263,2
"14","DAL","@","CIN",30,7,272,0,309,3
"14","ARI","@","NYG",26,7,390,0,159,3
"14","TEN","@","JAX",31,10,454,1,354,1
"14","KC","@","MIA",33,27,448,4,367,1
"14","TB","","MIN",26,14,303,0,335,1
"14","IND","@","LV",44,27,456,0,424,3
"14","SEA","","NYJ",40,3,410,1,185,1
"14","LAC","","ATL",20,17,345,1,319,3
"14","GB","@","DET",31,24,410,0,293,0
"14","PHI","","NO",24,21,413,1,358,2
"14","WAS","@","SF",23,15,193,1,344,3
"14","BUF","","PIT",26,15,334,2,224,2
"14","BAL","@","CLE",47,42,385,0,493,1
"15","LAC","@","LV",30,27,402,0,449,1
"15","BUF","@","DEN",48,19,534,1,255,1
"15","GB","","CAR",24,16,291,0,364,1
"15","TB","@","ATL",31,27,416,0,369,0
"15","CHI","@","MIN",33,27,397,1,407,1
"15","IND","","HOU",27,20,350,0,425,2
"15","DAL","","SF",41,33,291,0,458,4
"15","TEN","","DET",46,25,463,0,430,3
"15","BAL","","JAX",40,14,409,1,267,1
"15","MIA","","NE",22,12,383,1,303,1
"15","SEA","@","WAS",20,15,302,1,353,2
"15","ARI","","PHI",33,26,526,3,422,0
"15","NYJ","@","LA",23,20,289,0,303,1
"15","KC","@","NO",32,29,411,1,285,1
"15","CLE","@","NYG",20,6,392,0,288,0
"15","CIN","","PIT",27,17,230,0,244,3
"16","NO","","MIN",52,33,583,2,364,0
"16","TB","@","DET",47,7,588,0,186,2
"16","SF","@","ARI",20,12,398,1,350,2
"16","MIA","@","LV",26,25,383,0,418,1
"16","KC","","ATL",17,14,395,2,367,1
"16","CHI","@","JAX",41,17,391,1,279,2
"16","CIN","@","HOU",37,31,540,0,488,1
"16","NYJ","","CLE",23,16,333,0,299,2
"16","PIT","","IND",28,24,354,0,365,2
"16","BAL","","NYG",27,13,432,1,269,0
"16","CAR","@","WAS",20,13,280,2,386,4
"16","LAC","","DEN",19,16,316,0,396,2
"16","DAL","","PHI",37,17,513,1,477,3
"16","SEA","","LA",20,9,292,0,334,1
"16","GB","","TEN",40,14,448,1,260,2
"16","BUF","@","NE",38,9,474,0,201,0
"17","TB","","ATL",44,27,485,1,385,2
"17","BUF","","MIA",56,26,455,2,454,4
"17","BAL","@","CIN",38,3,525,1,195,2
"17","CLE","","PIT",24,22,358,0,394,1
"17","NYG","","DAL",23,19,336,2,307,1
"17","MIN","@","DET",37,35,508,0,417,2
"17","NE","","NYJ",28,14,404,0,350,2
"17","NO","@","CAR",33,7,347,0,320,5
"17","GB","@","CHI",35,16,316,1,356,2
"17","IND","","JAX",28,14,437,1,283,1
"17","LA","","ARI",18,7,333,2,214,1
"17","LV","@","DEN",32,31,465,4,446,0
"17","TEN","@","HOU",41,38,492,1,457,1
"17","LAC","@","KC",38,21,416,0,268,1
"17","SEA","@","SF",26,23,280,0,328,1
"17","WAS","@","PHI",20,14,248,2,216,3
"","","","",NA,NA,NA,NA,NA,NA
