"Week","Winner.tie","X","Loser.tie","PtsW","PtsL","YdsW","TOW","YdsL","TOL"
"1","KC","","HOU",34,20,369,0,360,1
"1","SEA","@","ATL",38,25,383,0,506,2
"1","BUF","","NYJ",27,17,404,2,254,2
"1","LV","@","CAR",34,30,372,0,388,0
"1","CHI","@","DET",27,23,363,0,426,1
"1","BAL","","CLE",38,6,381,1,306,3
"1","JAX","","IND",27,20,241,0,445,2
"1","GB","@","MIN",43,34,522,0,382,1
"1","NE","","MIA",21,11,357,1,269,3
"1","WAS","","PHI",27,17,239,0,265,3
"1","LAC","@","CIN",16,13,362,0,295,2
"1","ARI","@","SF",24,20,404,1,366,0
"1","NO","","TB",34,23,271,0,310,3
"1","LA","","DAL",20,17,422,1,380,0
"1","PIT","@","NYG",26,16,349,1,291,2
"1","TEN","@","DEN",16,14,377,0,323,1
"2","CLE","","CIN",35,30,434,1,353,1
"2","DAL","","ATL",40,39,570,3,380,0
"2","BUF","@","MIA",31,28,523,1,410,0
"2","TB","","CAR",31,17,339,2,427,4
"2","CHI","","NYG",17,13,304,2,295,2
"2","IND","","MIN",28,11,354,1,175,3
"2","PIT","","DEN",26,21,410,2,319,2
"2","GB","","DET",42,21,488,0,307,1
"2","TEN","","JAX",33,30,354,0,480,2
"2","SF","@","NYJ",31,13,359,1,277,0
"2","LA","@","PHI",37,19,449,1,363,3
"2","ARI","","WAS",30,15,438,1,316,2
"2","BAL","@","HOU",33,16,407,0,304,2
"2","KC","@","LAC",23,20,414,0,479,1
"2","SEA","","NE",35,30,429,1,464,1
"2","LV","","NO",34,24,377,1,424,1
"3","MIA","@","JAX",31,13,294,0,318,2
"3","CHI","@","ATL",30,26,437,2,371,1
"3","BUF","","LA",35,32,375,2,478,2
"3","PHI","","CIN",23,23,378,2,304,0
"3","CLE","","WAS",34,20,300,0,309,5
"3","PIT","","HOU",28,21,387,0,260,1
"3","TEN","@","MIN",31,30,444,1,464,3
"3","NE","","LV",36,20,406,1,375,3
"3","SF","@","NYG",36,9,420,0,231,3
"3","CAR","@","LAC",21,16,302,0,436,4
"3","IND","","NYJ",36,7,353,0,260,3
"3","DET","@","ARI",26,23,322,0,377,3
"3","SEA","","DAL",38,31,412,1,522,3
"3","TB","@","DEN",28,10,353,0,226,2
"3","GB","@","NO",37,30,369,0,397,1
"3","KC","@","BAL",34,20,517,1,228,1
"4","DEN","@","NYJ",37,28,359,3,321,0
"4","CAR","","ARI",31,21,444,1,262,1
"4","IND","@","CHI",19,11,289,0,269,1
"4","CIN","","JAX",33,25,505,1,429,1
"4","CLE","@","DAL",49,38,508,0,566,3
"4","NO","@","DET",35,29,392,1,281,1
"4","MIN","@","HOU",31,23,410,0,386,1
"4","SEA","@","MIA",31,23,441,1,415,2
"4","BAL","@","WAS",31,17,350,2,343,1
"4","TB","","LAC",38,31,484,1,324,2
"4","LA","","NYG",17,9,240,1,295,1
"4","BUF","@","LV",30,23,337,0,383,2
"4","PHI","@","SF",25,20,267,1,417,3
"4","KC","","NE",26,10,323,1,357,4
"4","GB","","ATL",30,16,403,0,327,0
"5","CHI","","TB",20,19,243,1,339,1
"5","CAR","@","ATL",23,16,437,0,373,1
"5","BAL","","CIN",27,3,332,1,205,3
"5","ARI","@","NYJ",30,10,496,1,285,0
"5","HOU","","JAX",30,14,486,2,364,2
"5","LV","@","KC",40,32,490,1,413,1
"5","PIT","","PHI",38,29,367,1,336,2
"5","LA","@","WAS",30,10,429,1,108,0
"5","MIA","@","SF",43,17,436,0,259,3
"5","CLE","","IND",32,23,385,2,308,2
"5","DAL","","NYG",37,34,402,2,300,1
"5","SEA","","MIN",27,26,314,1,449,2
"5","NO","","LAC",30,27,408,1,350,0
"5","TEN","","BUF",42,16,334,0,370,3
"6","DEN","@","NE",18,12,299,2,288,3
"6","DET","@","JAX",34,16,403,1,275,2
"6","ATL","@","MIN",40,23,462,1,365,3
"6","CHI","@","CAR",23,16,261,1,303,3
"6","IND","","CIN",31,27,430,2,398,1
"6","PIT","","CLE",38,7,277,0,220,2
"6","TEN","","HOU",42,36,607,2,412,0
"6","NYG","","WAS",20,19,240,1,337,2
"6","BAL","@","PHI",30,28,355,0,364,1
"6","MIA","","NYJ",24,0,302,2,263,1
"6","TB","","GB",38,10,324,0,201,2
"6","SF","","LA",24,16,390,0,311,1
"6","KC","@","BUF",26,17,466,1,206,1
"6","ARI","@","DAL",38,10,438,0,344,4
"7","PHI","","NYG",22,21,442,1,325,3
"7","GB","@","HOU",35,20,379,0,365,1
"7","PIT","@","TEN",27,24,362,3,292,0
"7","DET","@","ATL",23,22,386,0,388,1
"7","BUF","@","NYJ",18,10,422,1,191,2
"7","NO","","CAR",27,24,415,1,283,0
"7","CLE","@","CIN",37,34,398,1,468,2
"7","WAS","","DAL",25,3,397,0,142,1
"7","TB","@","LV",45,20,454,0,347,1
"7","KC","@","DEN",43,16,286,1,411,4
"7","SF","@","NE",33,6,467,2,241,4
"7","LAC","","JAX",39,29,484,0,294,1
"7","ARI","","SEA",37,34,519,2,572,3
"7","LA","","CHI",24,10,371,1,279,2
"8","ATL","@","CAR",25,17,401,1,304,1
"8","IND","@","DET",41,21,366,0,326,2
"8","MIN","@","GB",28,22,324,0,400,1
"8","MIA","","LA",28,17,145,2,471,4
"8","PIT","@","BAL",28,24,221,1,457,4
"8","BUF","","NE",24,21,339,1,349,1
"8","CIN","","TEN",31,20,367,0,441,1
"8","LV","@","CLE",16,6,309,0,223,1
"8","KC","","NYJ",35,9,496,0,221,1
"8","DEN","","LAC",31,30,351,1,485,2
"8","SEA","","SF",37,27,350,0,351,2
"8","NO","@","CHI",26,23,394,0,329,1
"8","PHI","","DAL",23,9,222,4,265,2
"8","TB","@","NYG",25,23,344,1,357,2
"9","GB","@","SF",34,17,405,0,337,2
"9","BAL","@","IND",24,10,266,1,339,2
"9","MIN","","DET",34,20,487,0,421,3
"9","HOU","@","JAX",27,25,374,1,403,1
"9","ATL","","DEN",34,27,363,1,405,1
"9","BUF","","SEA",44,34,420,0,419,4
"9","KC","","CAR",33,31,397,1,435,0
"9","TEN","","CHI",24,17,228,0,375,2
"9","NYG","@","WAS",23,20,350,0,402,5
"9","LV","@","LAC",31,26,320,1,440,1
"9","MIA","@","ARI",34,31,312,0,442,1
"9","PIT","@","DAL",24,19,355,0,364,2
"9","NO","@","TB",38,3,420,2,194,3
"9","NE","@","NYJ",30,27,433,0,322,1
"10","IND","@","TEN",34,17,430,0,294,0
"10","CLE","","HOU",10,7,356,0,243,0
"10","DET","","WAS",30,27,372,0,464,1
"10","GB","","JAX",24,20,395,2,260,1
"10","TB","@","CAR",46,23,544,1,187,1
"10","NYG","","PHI",27,17,382,0,346,0
"10","LV","","DEN",37,12,357,0,313,5
"10","MIA","","LAC",29,21,280,1,273,1
"10","ARI","","BUF",32,30,453,2,369,2
"10","PIT","","CIN",36,10,377,0,324,2
"10","NO","","SF",27,13,237,2,281,4
"10","LA","","SEA",23,16,389,1,333,3
"10","NE","","BAL",23,17,308,0,357,1
